Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/found-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/rightleaf-found.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/whofound.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/explore-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/exploreleft-dot.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/user1.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/reviewImg2.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/quotes.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/reviewImg3.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/reviewImg4.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/leftdot-location.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/location-rightleaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/plus.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /assets/images/movetop.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] code 404, message File not found
127.0.0.1 - - [20/May/2025 00:56:10] "GET /app/assets/images/logo.png HTTP/1.1" 404 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /css/fonts/bootstrap-icons.woff2?e34853135f9e39acf64315236852cd5a HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /css/ajax-loader.gif HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /footer.html HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:10] "GET /css/fonts/slick.woff HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:11] "GET /css/footer.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:11] "GET /images/Plate%20of%20Africa%20Logo.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:56:15] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2025 00:56:19] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /css/bootstrap-icons.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /css/slick.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /css/slick-theme.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/about-1.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/downarrow.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/about-2.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /js/bootstrap.bundle.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /js/slick.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/about-3.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/about-down-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/about-yellow.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/found-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/rightleaf-found.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/whofound.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/explore-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/exploreleft-dot.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/user1.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/quotes.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/reviewImg2.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/reviewImg3.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/leftdot-location.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/location-rightleaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/reviewImg4.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/plus.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /assets/images/movetop.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:02] code 404, message File not found
127.0.0.1 - - [20/May/2025 00:57:02] "GET /app/assets/images/logo.png HTTP/1.1" 404 -
127.0.0.1 - - [20/May/2025 00:57:02] "GET /css/fonts/bootstrap-icons.woff2?e34853135f9e39acf64315236852cd5a HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:03] "GET /css/ajax-loader.gif HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:03] "GET /css/fonts/slick.woff HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:03] "GET /footer.html HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:04] "GET /css/footer.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:57:04] "GET /images/Plate%20of%20Africa%20Logo.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /css/bootstrap-icons.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /css/slick-theme.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /css/slick.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/downarrow.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/about-1.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/about-2.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /js/bootstrap.bundle.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /js/slick.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/about-yellow.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/about-3.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/found-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/about-down-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/rightleaf-found.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/whofound.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/exploreleft-dot.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/explore-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/user1.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/quotes.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/leftdot-location.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/reviewImg3.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/reviewImg4.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/location-rightleaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/reviewImg2.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/plus.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /assets/images/movetop.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:21] code 404, message File not found
127.0.0.1 - - [20/May/2025 00:58:21] "GET /app/assets/images/logo.png HTTP/1.1" 404 -
127.0.0.1 - - [20/May/2025 00:58:21] "GET /css/fonts/bootstrap-icons.woff2?e34853135f9e39acf64315236852cd5a HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:22] "GET /css/ajax-loader.gif HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:22] "GET /footer.html HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:22] "GET /css/fonts/slick.woff HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:22] "GET /css/footer.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:58:22] "GET /images/Plate%20of%20Africa%20Logo.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /css/bootstrap-icons.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /css/slick.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /css/slick-theme.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /assets/images/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /assets/images/downarrow.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /assets/images/about-1.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /assets/images/about-2.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /js/bootstrap.bundle.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /js/slick.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /assets/images/found-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /assets/images/about-down-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /assets/images/about-yellow.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /assets/images/about-3.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /assets/images/rightleaf-found.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:14] "GET /assets/images/whofound.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /assets/images/explore-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /assets/images/exploreleft-dot.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /assets/images/user1.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /assets/images/quotes.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /assets/images/reviewImg2.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /assets/images/reviewImg3.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /assets/images/reviewImg4.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /assets/images/leftdot-location.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /assets/images/location-rightleaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /assets/images/plus.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /assets/images/movetop.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] code 404, message File not found
127.0.0.1 - - [20/May/2025 00:59:15] "GET /app/assets/images/logo.png HTTP/1.1" 404 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /css/fonts/bootstrap-icons.woff2?e34853135f9e39acf64315236852cd5a HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /css/ajax-loader.gif HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /footer.html HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:15] "GET /css/fonts/slick.woff HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:16] "GET /css/footer.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:59:16] "GET /images/Plate%20of%20Africa%20Logo.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 01:11:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 01:12:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 01:12:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 01:12:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 01:12:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 01:12:44] "GET / HTTP/1.1" 200 -
